Unnamed: 0,username,text,created_at,sumber,sentiment,month,label_code,text_stopwords
1649,rinoage.base.eth,anomali ripple ketika bitcoin turun dia naik,2025-09-29 06:58:29+00:00,X,netral,9.0,0,anomali ripple ketika bitcoin turun naik
1650,kakek krito ðŸ‘€,bitcoin bakalan harga turun minggu ini maybe ke siap siap buat nyerok saja,2025-09-28 21:20:50+00:00,X,netral,9.0,0,bitcoin bakalan harga turun minggu maybe siap siap buat nyerok
1651,Firefliez ðŸ‰,deposito turun dimana lagi saya naro duit biar beranak pinak saham tidak pinter amat kripto tidak pernah megang memang paling benar belajar terus woii belajarrr,2025-09-28 16:51:38+00:00,X,negative,9.0,2,deposito turun dimana lagi naro duit biar beranak pinak saham pinter amat kripto pernah megang memang paling benar belajar terus woii belajarrr
1652,Enzo,harga aset kripto naik dan turun itu biasa tapi kalau naiknya dikit dan turunnya banyak yaa berarti terjebak rugi semua orang akan terjebak rugi pada waktunya,2025-09-28 09:19:24+00:00,X,negative,9.0,2,harga aset kripto naik turun biasa naiknya dikit turunnya banyak yaa berarti terjebak rugi semua orang terjebak rugi waktunya
1653,CiCiCiwww,yah turun lagi kata sibadutlier dengan wajah tidak berdosa nya setelah fomokan altcoin tinggal nunggu badut jahat ini bilang rrp wajar naik akhir bulan ganas kau,2025-09-28 04:29:06+00:00,X,negative,9.0,2,yah turun lagi kata sibadutlier wajah berdosa nya setelah fomokan altcoin tinggal nunggu badut jahat bilang rrp wajar naik akhir bulan ganas kau
1654,Alex/AJ,terlalu banyak berita negatif palsu tren turun year top cycle dst pelajari bitcoin bangun conviction press buy tahan aset kebanyakan orang will get it wrong kalau semua orang benar udah pada jadi trillionaire semua kenyataanya,2025-09-28 04:15:25+00:00,X,negative,9.0,2,terlalu banyak berita negatif palsu tren turun year top cycle dst pelajari bitcoin bangun conviction press buy tahan aset kebanyakan orang will get it wrong semua orang benar udah jadi trillionaire semua kenyataanya
1655,Trader Pemula Kripto,maybe bitcoin dapat visit area k k bulan depan dapat jadi juga turun lebih dari k akan jadi kesempatan yang menarik buat akumulasi bitcoin,2025-09-28 02:53:28+00:00,X,netral,9.0,0,maybe bitcoin dapat visit area k k bulan depan dapat jadi turun lebih k jadi kesempatan menarik buat akumulasi bitcoin
1656,hattaxoxo,overall ada points bitcoin turun seharusnya,2025-09-27 20:22:37+00:00,X,netral,9.0,0,overall points bitcoin turun seharusnya
1657,Es Teh Poci,ciri market bullrun adalah muncul banyak orang takut ketinggalan coin takut ketinggalan up sejenak di goreng lalu retail terjebak rugi banyak orang baru join kripto industri lalu market turun perlahan lalu harga turun jauh,2025-09-27 07:54:29+00:00,X,negative,9.0,2,ciri market bullrun muncul banyak orang takut ketinggalan coin takut ketinggalan sejenak goreng lalu retail terjebak rugi banyak orang baru join kripto industri lalu market turun perlahan lalu harga turun jauh
1658,Guffy,tren kripto terkini bitcoin turun ke level k,2025-09-27 03:12:53+00:00,X,negative,9.0,2,tren kripto terkini bitcoin turun level k
1659,Easide,plain to see trump harga turun the bitcoin iykyk,2025-09-26 22:20:05+00:00,X,netral,9.0,0,plain to see trump harga turun the bitcoin iykyk
1660,Nero Fish It Needs ðŸŸ,alasan bitcoin turun halving selesai mendekati piala dunia massive gambling retail dan miner taking untung tahunan,2025-09-26 20:05:18+00:00,X,netral,9.0,0,alasan bitcoin turun halving selesai mendekati piala dunia massive gambling retail miner taking untung tahunan
1661,Hamstrading,harga bitcoin adalah bottom signal bullmarket kripto saya akan terjadi happy panen untung brother altsesion its cooming,2025-09-26 12:43:07+00:00,X,positive,9.0,1,harga bitcoin bottom signal bullmarket kripto terjadi happy panen untung brother altsesion its cooming
1662,vhan | @ after dm,yang ingin ikut freelance modal whatsapp saja dapat untung k k per hari dapat langsung dm saya ajaa yaa kaa,2025-09-26 05:22:21+00:00,X,positive,9.0,1,ingin ikut freelance modal whatsapp dapat untung k k per hari dapat langsung dm ajaa yaa kaa
1663,AFX,kalau bitcoin turun penipuan ponzi udah tamat kalau bitcoin naik coba waktu itu saya gadai semua saya jual lalu beliin bitcoin jadi apa ya zzzzzzz,2025-09-26 00:13:32+00:00,X,negative,9.0,2,bitcoin turun penipuan ponzi udah tamat bitcoin naik coba waktu gadai semua jual lalu beliin bitcoin jadi zzzzzzz
1664,Blackx Cuan,andai bitcoin tumbang di bawah k apa rencana kalian,2025-09-25 13:35:23+00:00,X,netral,9.0,0,andai bitcoin tumbang bawah k rencana kalian
1665,Valenttttttt,sudah habis duit saya buat all in ethereum kalau turun lagi terpaksa jual rumah mertua,2025-09-25 06:07:51+00:00,X,negative,9.0,2,habis duit buat all in ethereum turun lagi terpaksa jual rumah mertua
1666,tulisan aksara,daya beli masyarakat turun apakah ada pengaruhnya atau korelasinya dengan boomingnya investasi saham kripto dan sejenisnya,2025-09-25 04:14:19+00:00,X,netral,9.0,0,daya beli masyarakat turun apakah pengaruhnya korelasinya boomingnya investasi saham kripto sejenisnya
1667,Akhmad Ridhoni,kita sabar dulu dikala market lagi turun kita tunggu sampai ada konfirmasi adanya pembalikan arah untuk market kripto,2025-09-24 16:08:59+00:00,X,netral,9.0,0,sabar dulu dikala market lagi turun tunggu sampai konfirmasi adanya pembalikan arah market kripto
1668,SleepGuy,di cadev dollar di bank sentral sekarang turun jadi hanya sedangkan cadev emas naik dari yang hanya sekarang jadi maka as akan mendorong adopsi kripto agar dapat membayar hutangnya,2025-09-24 15:56:21+00:00,X,netral,9.0,0,cadev dollar bank sentral sekarang turun jadi hanya sedangkan cadev emas naik hanya sekarang jadi as mendorong adopsi kripto agar dapat membayar hutangnya
1669,ðŸ¦– u i e,tidak sabar ikut kelas kripto besok bersama ngab aaron kita lihat how green naik naik no turun turun nya traffic besok,2025-09-24 09:32:23+00:00,X,positive,9.0,1,sabar ikut kelas kripto besok bersama ngab aaron lihat how green naik naik no turun turun nya traffic besok
1670,Dark_art,kemungkinan terburuk bitcoin akan harga turun k lalu ke k jika menyentuh k goodbye altcoin season,2025-09-23 16:25:08+00:00,X,negative,9.0,2,kemungkinan terburuk bitcoin harga turun k lalu k jika menyentuh k goodbye altcoin season
1671,abdee rahman,turun lagi si harga ethereum biar buy limitmu kena,2025-09-23 13:12:49+00:00,X,negative,9.0,2,turun lagi si harga ethereum biar buy limitmu kena
1672,pepebergelora,xau naik bitcoin turun sekarang saya menemukan korelasi nya,2025-09-23 12:50:32+00:00,X,netral,9.0,0,xau naik bitcoin turun sekarang menemukan korelasi nya
1673,Crypto Daily - Indonesia ðŸ‡®ðŸ‡©,turun dikit langsung bilang kripto penipuan,2025-09-23 06:42:31+00:00,X,negative,9.0,2,turun dikit langsung bilang kripto penipuan
1674,fadð•ioriq,bitcoin ini mcm jauh je lagi nak turun bawah k ini adeh,2025-09-22 20:59:08+00:00,X,negative,9.0,2,bitcoin mcm jauh je lagi nak turun bawah k adeh
1675,"shinra (â–,â–)",naik itu sementara turun itu selamanya begitulah kata orang orang komunitas kripto di facebook,2025-09-22 12:08:38+00:00,X,netral,9.0,0,naik sementara turun selamanya begitulah kata orang orang komunitas kripto facebook
1676,Mariana,bitcoin ada isu apa nih tahu tahu turun an,2025-09-22 11:56:35+00:00,X,negative,9.0,2,bitcoin isu nih tahu tahu turun an
1677,TopRacksðŸ”Œ,niko sure wasee most hawakuona iyo harga turun ya bitcoin wahh hamuezi saidika iyo kitu inafaa idump adi uko,2025-09-22 11:18:25+00:00,X,negative,9.0,2,niko sure wasee most hawakuona iyo harga turun bitcoin wahh hamuezi saidika iyo kitu inafaa idump adi uko
1678,azungggðœ—ðœš,lemes lihat tiket belum kejual pasar kripto lg pd turun,2025-09-22 10:42:38+00:00,X,negative,9.0,2,lemes lihat tiket belum kejual pasar kripto lg pd turun
1679,dntaskme,hahahahahaha bitcoin turun ke usd jangan panik beli saja lagi wkwkw,2025-09-22 10:32:49+00:00,X,negative,9.0,2,hahahahahaha bitcoin turun usd jangan panik beli lagi wkwkw
1680,justitia.base.eth | baelcalls,xau new ath bitcoin berharap liquiditynya pindah ke kripto bulan depan serius belum ada liquidity baru tiap xau harga naik bitcoin harga turun and sebaliknya kalau saya perhatiin padahal harusnya lawannya dxy,2025-09-22 07:15:39+00:00,X,netral,9.0,0,xau new ath bitcoin berharap liquiditynya pindah kripto bulan depan serius belum liquidity baru tiap xau harga naik bitcoin harga turun and sebaliknya perhatiin padahal harusnya lawannya dxy
1681,AFX,ada apa ini ya bitcoin dan dxy turun deres lalu gold naik keras ada yang tahu,2025-09-22 06:50:05+00:00,X,netral,9.0,0,bitcoin dxy turun deres lalu gold naik keras tahu
1682,hey jude ðŸ‘‘,hampir taun di kripto baru banget ini lihat langsung proses perubahan harga harga turun market biasanya pas tidur bangun ancur,2025-09-22 06:27:46+00:00,X,negative,9.0,2,hampir taun kripto baru banget lihat langsung proses perubahan harga harga turun market biasanya pas tidur bangun ancur
1683,airdrop daddy!,ada apa ini kripto pada turun,2025-09-22 06:06:20+00:00,X,negative,9.0,2,kripto turun
1684,fkho92,ags berapa k kan sekarang sep berapa k still tren naik bersembunyi dibalik altseason takut ketinggalan,2025-09-22 05:06:21+00:00,X,netral,9.0,0,ags berapa k sekarang sep berapa k still tren naik bersembunyi dibalik altseason takut ketinggalan
1685,frzzâš¡,data altcoin season rusak kah tapi altcoin malah turun semua waduh,2025-09-22 03:21:47+00:00,X,negative,9.0,2,data altcoin season rusak kah altcoin malah turun semua waduh
1686,Menjadi Trader,cara saya untung di kripto step by step,2025-09-21 14:24:31+00:00,X,netral,9.0,0,cara untung kripto step by step
1687,Text dari bitcoinerâš¡ï¸,narik uang untuk hidup bulan ke depan jaga jaga kalau bitcoin turun,2025-09-21 10:13:09+00:00,X,netral,9.0,0,narik uang hidup bulan depan jaga jaga bitcoin turun
1688,Drew83 | B N K,saya apa sih yang paling susah di dunia kripto a melihat orang lain untung apalagi kalau orang lain tersebut untung ribuan,2025-09-21 01:16:50+00:00,X,negative,9.0,2,paling susah dunia kripto a melihat orang lain untung apalagi orang lain tersebut untung ribuan
1689,ApeiroA18,untuk saat ini apo mulai kurang kurangin posisi posisi beli menunggu bitcoin harga turun dulu baru masuk lagi kelihatan beberapa altcoin major dan bitcoin mulai kekurangan stimulus untuk naik,2025-09-19 01:48:48+00:00,X,netral,9.0,0,saat apo mulai kurang kurangin posisi posisi beli menunggu bitcoin harga turun dulu baru masuk lagi kelihatan beberapa altcoin major bitcoin mulai kekurangan stimulus naik
1690,"ZennzSec | base.eth ðŸŠ,ðŸ’Š",kompetisi bukan cuma tentang hadiah tapi juga tentang kepercayaan amp ekosistem yang terus tumbuh takut ketinggalan thursdays buktikan tps makin relevan di dunia kripto,2025-09-18 21:26:23+00:00,X,positive,9.0,1,kompetisi bukan cuma tentang hadiah tentang kepercayaan amp ekosistem terus tumbuh takut ketinggalan thursdays buktikan tps makin relevan dunia kripto
1691,Aldi,bitcoin yang di perkirakan bakal turun bulan ini malah stabil di awal bulan trus naik di pertengahan bulan,2025-09-18 16:32:53+00:00,X,netral,9.0,0,bitcoin perkirakan bakal turun bulan malah stabil awal bulan trus naik pertengahan bulan
1692,pengamat bitcoin,investasi di kripto keliatan hasilnya sekitar kurang dari hari hari ke perlu waspada kurang dari hari bakal turun udah bulan siap rotasi tergantung keadaan,2025-09-18 09:50:00+00:00,X,negative,9.0,2,investasi kripto keliatan hasilnya sekitar kurang hari hari perlu waspada kurang hari bakal turun udah bulan siap rotasi tergantung keadaan
1693,Angling Dharma ãƒ„,buy bitcoin binance orang indo makin rame invest kripto tapi jujur saja takut ketinggalan tinggi banget,2025-09-18 08:01:02+00:00,X,negative,9.0,2,buy bitcoin binance orang indo makin rame invest kripto jujur takut ketinggalan tinggi banget
1695,Uray Yusi Mandela - ðŸ‡®ðŸ‡© - EmoFi - âš¡ï¸ Orexn,tipe edukasi banyak yang takut ketinggalan tapi lupa basic selalu riset sendiri do your own research jangan pakai uang kebutuhan pokok tentukan masuk beli amp exit plan kripto itu peluang tapi juga risiko,2025-09-17 09:24:42+00:00,X,netral,9.0,0,tipe edukasi banyak takut ketinggalan lupa basic selalu riset sendiri do your own research jangan pakai uang kebutuhan pokok tentukan masuk beli amp exit plan kripto peluang risiko
1696,Reku - Aplikasi Investasi Aset Global,market kripto naik turun kayak ombak kadang bikin semangat kadang bikin pusing tapi tahu tidak kalau dapat naik ombaknya untung dapat makin maksimal,2025-09-17 04:08:54+00:00,X,netral,9.0,0,market kripto naik turun kayak ombak kadang bikin semangat kadang bikin pusing tahu dapat naik ombaknya untung dapat makin maksimal
1697,Pluniox,waiting for big corrections on grandma and meme grandma ca cbtoktrkfbsv rmfzmr vfkq plryeg rfgzmq harga naik meme ca aoczoatgvrvzdppncjuqcahcg yfrbngadxlblmjpump grandma meme,2025-09-16 20:48:41+00:00,X,netral,9.0,0,waiting for big corrections on grandma and meme grandma ca cbtoktrkfbsv rmfzmr vfkq plryeg rfgzmq harga naik meme ca aoczoatgvrvzdppncjuqcahcg yfrbngadxlblmjpump grandma meme
1698,TheosT99,kayaknya tidak harga turun buruk deh palingan mentok k lagi bitcoin,2025-09-16 15:14:53+00:00,X,netral,9.0,0,kayaknya harga turun buruk palingan mentok k lagi bitcoin
1699,hattaxoxo,bitcoin support bitcoin ada di ideal nya ini ya normal kenapa turun naik nya,2025-09-15 16:30:08+00:00,X,netral,9.0,0,bitcoin support bitcoin ideal nya normal turun naik nya
1700,Akhmad Ridhoni,tidak akan turun lebih dalam lagi kita akan melihat kenaikan dalam beberapa minggu kedepan harga naik akan datang,2025-09-15 15:50:13+00:00,X,positive,9.0,1,turun lebih lagi melihat kenaikan beberapa minggu kedepan harga naik datang
1701,taupig.eth,sebulan tidak mantau market gra gara fokus ngoding kena takut ketinggalan altcoin season langsung all in ecosystemnya solana trus ditinggal tidur bentar langsung terjebak rugi banyak ajg alhasil turu ra penak mangan ra kolu,2025-09-15 11:40:14+00:00,X,negative,9.0,2,sebulan mantau market gra gara fokus ngoding kena takut ketinggalan altcoin season langsung all in ecosystemnya solana trus ditinggal tidur bentar langsung terjebak rugi banyak ajg alhasil turu ra penak mangan ra kolu
1702,Bro Bima ðŸ’¹ðŸ§²,bitcoin naik altcoin lain diem bitcoin turun altcoin lain junam owalah telo telo persist forever guys matahari yang cerah akan segera terbit,2025-09-15 06:49:43+00:00,X,netral,9.0,0,bitcoin naik altcoin lain diem bitcoin turun altcoin lain junam owalah telo telo persist forever guys matahari cerah segera terbit
1703,Ö¹,eh monyet giliran ingin masukin bitcoin malah naik tadi pagi ingin sell malah turun,2025-09-15 06:28:53+00:00,X,negative,9.0,2,eh monyet giliran ingin masukin bitcoin malah naik tadi pagi ingin sell malah turun
1704,BuzzUp IDN ðŸ‡®ðŸ‡©,gm gm hari senin bahagia semoga bitcoin untung ria,2025-09-15 05:42:11+00:00,X,positive,9.0,1,gm gm hari senin bahagia semoga bitcoin untung ria
1705,tatitet,kripto ngajarin cara coping sama emosi kayak lagi jatuh cinta naik turun kadang seneng banget kadang ingin nyerah bedanya kalau salah langkah yang patah hati bukan hati tapi saldo,2025-09-15 03:36:33+00:00,X,netral,9.0,0,kripto ngajarin cara coping sama emosi kayak lagi jatuh cinta naik turun kadang seneng banget kadang ingin nyerah bedanya salah langkah patah hati bukan hati saldo
1706,tudemun ðŸ“ˆðŸŒ–,ethereum turun harga mood ikutan turun,2025-09-15 01:16:53+00:00,X,negative,9.0,2,ethereum turun harga mood ikutan turun
1707,CiCiCiwww,masih ingat quote terkenal sang panglima perang kripto di desember kalian kalau ingin tren turun seperti influencer lain silahkan saya tetap tren naik disini udah biasa saya sendirian kayak begini kenapa masih dapat tren turun,2025-09-15 00:08:24+00:00,X,negative,9.0,2,masih ingat quote terkenal sang panglima perang kripto desember kalian ingin tren turun seperti influencer lain silahkan tetap tren naik disini udah biasa sendirian kayak begini masih dapat tren turun
1708,Maxlot,jualan cilok lebih untung kalau nanti pasar uang turun artinya saham bank naik dan high risk asset sexy bayangin bitcoin ath pasar uang ath kalau pas turun bagaimana,2025-09-14 05:01:00+00:00,X,netral,9.0,0,jualan cilok lebih untung nanti pasar uang turun artinya saham bank naik high risk asset sexy bayangin bitcoin ath pasar uang ath pas turun
1709,More Than,banyak banget cryptobro indo yang beberapa bulan lalu call ke ripple tren turun tapi dari konten yang ikuti hype ripple di us juga wow siapa yang menang,2025-09-14 02:39:11+00:00,X,netral,9.0,0,banyak banget cryptobro indo beberapa bulan lalu call ripple tren turun konten ikuti hype ripple us wow siapa menang
1710,Kurnia Bijaksana,saat nanti bitcoin turun lebih dari altcoin akan berak darah turun puluhan persen saat itulah kripto saudara akan menjadi filsuf,2025-09-13 19:16:42+00:00,X,negative,9.0,2,saat nanti bitcoin turun lebih altcoin berak darah turun puluhan persen saat itulah kripto saudara menjadi filsuf
1711,ronoki,ini kayaknya token kek tai sudah bitcoin naik dia malah diem kalau ngga turun tresssssss,2025-09-13 16:02:24+00:00,X,negative,9.0,2,kayaknya token kek tai bitcoin naik malah diem ngga turun tresssssss
1712,jagongjeget,ayo israel peranglah lagi biar bitcoin harga turun beli harga bawah bawah tertawa,2025-09-13 11:42:28+00:00,X,negative,9.0,2,ayo israel peranglah lagi biar bitcoin harga turun beli harga bawah bawah tertawa
1713,"Chart Investor Saham IHSG,USA,Crypto",bedanya anak saham dan anak kripto di kripto tren naik tren turun bersatu senang sedih bersama di saham kalau tren turun kompak itu begitu tren naik pada berantem,2025-09-13 01:46:12+00:00,X,netral,9.0,0,bedanya anak saham anak kripto kripto tren naik tren turun bersatu senang sedih bersama saham tren turun kompak begitu tren naik berantem
1714,I.A,tidak percaya altcoin season sebelum skya ngepump udah ingin setahun terjebak rugi kalau dapat at least balik modal saya nobatkan altcoin season,2025-09-12 16:36:46+00:00,X,negative,9.0,2,percaya altcoin season sebelum skya ngepump udah ingin setahun terjebak rugi dapat at least balik modal nobatkan altcoin season
1715,Cryptocium,jujur nih ya kalau ngomongin modal sebenernya kripto itu gabutuh modal gede kamu siapin juga udah dapat dapat untung setara umr setiap bulan nya percaya tidak,2025-09-12 11:19:13+00:00,X,positive,9.0,1,jujur nih ngomongin modal sebenernya kripto gabutuh modal gede siapin udah dapat dapat untung setara umr setiap bulan nya percaya
1716,Uray Yusi Mandela - ðŸ‡®ðŸ‡© - EmoFi - âš¡ï¸ Orexn,market akan selalu fluktuatif naik euforia turun panik cekidot tapi ingat smart money fokus pada value bukan noise stay rational,2025-09-12 07:53:34+00:00,X,netral,9.0,0,market selalu fluktuatif naik euforia turun panik cekidot ingat smart fokus value bukan noise stay rational
1717,Ihsan,di jalan altcoin cibubur ada swalayan pinggir jalan dan ada drive thru nya tapi setelah keluar dari drive thru dimintain parkir sama saja kayak belanja tapi parkir dan turun dari mobil,2025-09-11 16:29:25+00:00,X,negative,9.0,2,jalan altcoin cibubur swalayan pinggir jalan drive thru nya setelah keluar drive thru dimintain parkir sama kayak belanja parkir turun mobil
1718,PumpShadow,and turun amerika inflasi tidak mungkin kripto naik lagi,2025-09-11 15:43:41+00:00,X,netral,9.0,0,and turun amerika inflasi mungkin kripto naik lagi
1719,Dimas,bitcoin menurut saya akan harga turun ke,2025-09-11 12:02:01+00:00,X,netral,9.0,0,bitcoin menurut harga turun
1720,Samblun,kebanyakan analisa para ct tren turun untuk news cpi malam ini we ll see apakah market akan bergerak sesuai dengan analisa mayoritas kalau saya tetap bitcoin megaphone pattern,2025-09-11 10:42:40+00:00,X,netral,9.0,0,kebanyakan analisa para ct tren turun news cpi malam we ll see apakah market bergerak sesuai analisa mayoritas tetap bitcoin megaphone pattern
1721,akira,bitcoin akan turun ke k,2025-09-11 10:41:52+00:00,X,negative,9.0,2,bitcoin turun k
1722,ðŸ‘¾ HOKI,altseason aah belum nyerok lagi bensin tidak ada akhir bulan paling dapat beli harga bawah ini,2025-09-11 07:28:33+00:00,X,negative,9.0,2,altseason aah belum nyerok lagi bensin akhir bulan paling dapat beli harga bawah
1723,Richie,next plan bitcoin sideways until end saya ethereum relief rally altcoin pumping pesan saya jangan takut ketinggalan take untung secukupnya,2025-09-11 04:10:19+00:00,X,netral,9.0,0,next plan bitcoin sideways until end ethereum relief rally altcoin pumping pesan jangan takut ketinggalan take untung secukupnya
1724,justitia.base.eth | baelcalls,solana harga naik menyambut met terlihat bitcoin harga turun ethereum harga turun kemarin solana masih kokoh diatas tidak sabar menunggu,2025-09-11 00:10:52+00:00,X,positive,9.0,1,solana harga naik menyambut met terlihat bitcoin harga turun ethereum harga turun kemarin solana masih kokoh diatas sabar menunggu
1725,Xikmad Academy,chatgpt said alert suuqyada kripto waxaa ka muuqda in ganacsatada ay noqdeen tren turun balse berita negatif palsu sii kordhaya wuxuu muujinayaa in retrace la cabsi qabay ee bitcoin ethereum iyo altcoin uusan dhici doonin,2025-09-10 22:50:01+00:00,X,netral,9.0,0,chatgpt said alert suuqyada kripto waxaa ka muuqda in ganacsatada ay noqdeen tren turun balse berita negatif palsu sii kordhaya wuxuu muujinayaa in retrace la cabsi qabay ee bitcoin ethereum iyo altcoin uusan dhici doonin
1726,Nanovest Official,gejolak geopolitik bikin kripto rontok bitcoin amp ethereum turun gt usai serangan israel ke pimpinan hamas di qatar solana amp ripple dogecoin paling buruk,2025-09-10 05:21:55+00:00,X,negative,9.0,2,gejolak geopolitik bikin kripto rontok bitcoin amp ethereum turun gt usai serangan israel pimpinan hamas qatar solana amp ripple dogecoin paling buruk
1727,Kapten Crypto 707,para analis asing masih berpendapat jangka pendek ini tren turun dengan target koreksi bitcoin ke intinya sih jaga jaga saja harus ada cadangan kas biar kalau dibanting dapat beli harga bawah bawah,2025-09-10 03:19:52+00:00,X,netral,9.0,0,para analis asing masih berpendapat jangka pendek tren turun target koreksi bitcoin intinya jaga jaga harus cadangan kas biar dibanting dapat beli harga bawah bawah
1728,"0xn ðŸ‡®ðŸ‡© (â–,â–)",kocokan bitcoin halah paling turun lagi ke,2025-09-09 07:02:26+00:00,X,negative,9.0,2,kocokan bitcoin halah paling turun lagi
1729,it's 911,mannn trust me bitcoin tren turun under k even k terserah ingin percaya apa tidak,2025-09-09 03:57:04+00:00,X,negative,9.0,2,mannn trust me bitcoin tren turun under k even k terserah ingin percaya
1730,Yson Crypto,anjima za muyi space akan takut ketinggalan da kuma taking untung insha allah,2025-09-08 18:17:38+00:00,X,netral,9.0,0,anjima za muyi space takut ketinggalan da kuma taking untung insha allah
1731,Nikmatnya,at this point mending timoti ronald beler yang jadi menkeu harga turun semua treasury ke kripto chance suksesnya lebih gede drpd pemerintahan skrg,2025-09-08 15:35:46+00:00,X,negative,9.0,2,at this point mending timoti ronald beler jadi menkeu harga turun semua treasury kripto chance suksesnya lebih gede drpd pemerintahan skrg
1732,bk,kripto turun saham turun makin miskin anyink,2025-09-08 12:03:14+00:00,X,negative,9.0,2,kripto turun saham turun makin miskin anyink
1733,Nanovest Official,whale bitcoin lepas bitcoin terbesar sejak dalam hari terakhir whale pemegang bitcoin jual hampir bitcoin us miliar tekanan besar ini bikin harga turun di bawah,2025-09-08 05:41:48+00:00,X,negative,9.0,2,whale bitcoin lepas bitcoin terbesar sejak hari terakhir whale pemegang bitcoin jual hampir bitcoin us miliar tekanan besar bikin harga turun bawah
1734,CiCiCiwww,altcoin junam di badut ancol lgsg pindah isu mengalihkan bahas emas nyalahin analisa ahli lain bahkan bahas wapres tinggal bawa isu agama saja yang belum biar org simpatik dan lupa terjebak rugi,2025-09-07 00:55:53+00:00,X,negative,9.0,2,altcoin junam badut ancol lgsg pindah isu mengalihkan bahas emas nyalahin analisa ahli lain bahkan bahas wapres tinggal bawa isu agama belum biar org simpatik lupa terjebak rugi
1735,taaÂ²âµ,saya takut ketinggalan pgn ikutan kripto juga kaya suli tapi takut,2025-09-06 16:14:55+00:00,X,negative,9.0,2,takut ketinggalan pgn ikutan kripto kaya suli takut
1736,"louizsa ðŸŠ,ðŸ’Š",altcoin season altcoin season altcoin coin terjebak rugi yang saya tahan dari jaman jebot balik modal saja belom,2025-09-06 14:53:14+00:00,X,negative,9.0,2,altcoin season altcoin season altcoin coin terjebak rugi tahan jaman jebot balik modal belom
1737,Menjadi Trader,wawasan bitcoin spot sept teknis amp sentimen macd amp rsi tunjukkan tren tren turun kuat harga dekati bollinger band bawah arus keluar signifikan dari etf amp institusi paus buka posisi jual besar,2025-09-06 06:25:14+00:00,X,negative,9.0,2,wawasan bitcoin spot sept teknis amp sentimen macd amp rsi tunjukkan tren tren turun kuat harga dekati bollinger band bawah arus keluar signifikan etf amp institusi paus buka posisi jual besar
1738,.,altseason masih ada apa tidak sudah resah oi nungguinnya duit terjebak rugi kripto penipuan wow wkwkwkwk,2025-09-06 04:03:26+00:00,X,negative,9.0,2,altseason masih resah oi nungguinnya duit terjebak rugi kripto penipuan wow wkwkwkwk
1739,Ta URUSðŸ’¹ðŸ§²âš¡ðŸ‡®ðŸ‡©,will this month nfp jauh bangat turun so probabilitas cut rate bulan ini semakin besar,2025-09-05 14:47:23+00:00,X,positive,9.0,1,will this month nfp jauh bangat turun so probabilitas cut rate bulan semakin besar
1740,Fitboy_phrs | Ï€Â²,yo pasar kripto lagi naik turun kayak rollercoaster bitcoin ngegas altcoin pada ikutan party tapi hati hati jangan takut ketinggalan,2025-09-05 11:09:30+00:00,X,netral,9.0,0,yo pasar kripto lagi naik turun kayak rollercoaster bitcoin ngegas altcoin ikutan hati hati jangan takut ketinggalan
1741,nakaa29.base.eth,project kripto makin banyak dan makin bervariasi sementara liquidity belum banyak tersedia gmana ingin altcoin season coba belum lagi project listing langsung harga turun listing harga turun begitu saja terus,2025-09-05 02:49:49+00:00,X,negative,9.0,2,project kripto makin banyak makin bervariasi sementara liquidity belum banyak tersedia gmana ingin altcoin season coba belum lagi project listing langsung harga turun listing harga turun begitu terus
1742,FW 2.0,dapat yuk ethereum ke dulu sebelum turun lagi,2025-09-05 02:40:09+00:00,X,netral,9.0,0,dapat ethereum dulu sebelum turun lagi
1743,Bayu AA,uang saya di kripto kalau kripto turun saya miskin info loker dong,2025-09-04 12:22:52+00:00,X,negative,9.0,2,uang kripto kripto turun miskin info loker
1744,pioo,tinggalkan kripto mari beli harga bawah ipo,2025-09-03 13:08:12+00:00,X,netral,9.0,0,tinggalkan kripto beli harga bawah ipo
1745,Struggle .ink | ð”½rAI,market kripto lagi jenuh sebagian malah lagi harga turun merahh pnl udah lost besar kemon ethereum amp bitcoin harga naik lagi,2025-09-03 05:22:10+00:00,X,negative,9.0,2,market kripto lagi jenuh sebagian malah lagi harga turun merahh pnl udah lost besar kemon ethereum amp bitcoin harga naik lagi
1746,tudemun ðŸ“ˆðŸŒ–,jangan hanya harga bitcoin dan ethereum lagi turun engkau pilih menyerah masih ada bulan lagi,2025-09-02 09:56:32+00:00,X,negative,9.0,2,jangan hanya harga bitcoin ethereum lagi turun engkau pilih menyerah masih bulan lagi
1747,Alex/AJ,wlfi bikin biaya transaksi fees mahal di ethereum sekarang nya harga turun keluh kesah memang cocok ethereum di berita negatif palsu biar naik,2025-09-02 02:55:39+00:00,X,negative,9.0,2,wlfi bikin biaya transaksi fees mahal ethereum sekarang nya harga turun keluh kesah memang cocok ethereum berita negatif palsu biar naik
1748,Adiono Ahmad | âŒ˜ðŸ› ï¸,bitcoin harga turun akankah ke k,2025-09-01 22:40:26+00:00,X,netral,9.0,0,bitcoin harga turun akankah k
1749,Alex/AJ,ketika semua beranggapan tren turun month buat september market berkata see you on th of september bitcoin today k,2025-09-01 17:43:21+00:00,X,netral,9.0,0,ketika semua beranggapan tren turun month buat september market berkata see you on th of september bitcoin today k
