,username,text,created_at,sumber
1457,Hamsah,kripto itu bukan hanya soal untung cepat tapi juga belajar untuk memahami nilai di balik aset,Wed Jul 02 08:49:34 +0000 2025,X
1458,Kevin Jonathan KJo,zero sum game atau bukan i dont fcking care yang saya cari disini untung mempermasalahkan hal sepele sbnrnya intinya semuanya sama berharap bitcoin dan market naik,Wed Jul 02 06:17:06 +0000 2025,X
1459,Crypto Foundation,ada apa dengan saylor microstrategy lagi lagi beli bitcoin minggu berturut turut kamu kira dia iseng atau tahu sesuatu yang belum kita tahu kalau orang biasa beli terus dibilang takut ketinggalan kalau dia dibilang visioner,Wed Jul 02 06:11:35 +0000 2025,X
1460,#1 Iqbal,bitcoin tidak perlu fiat buat naik fiatnya yang turun sendiri kenapa makanya mindset harus dirubah bitcoin focus bukan fiat focus bitcoin bitcoin,Wed Jul 02 05:07:42 +0000 2025,X
1461,Hamsah,stop dulu scroll twitter kripto kalau isinya cuma bikin takut ketinggalan,Wed Jul 02 03:38:06 +0000 2025,X
1462,vinâœ—,mimpi bitcoin turun malah beneran turun kwontwol,Wed Jul 02 02:16:06 +0000 2025,X
1463,Hamsah,untung di kripto bukan buat flexing tapi buat survive market berikutnya,Wed Jul 02 01:57:35 +0000 2025,X
1464,Hodlmagz | Daily Crypto Bites,cadangan bitcoin di bursa turun ke level terendah tujuh tahun supply shock makin terasa,Tue Jul 01 23:04:07 +0000 2025,X
1465,Crypto Foundation,update panas as serang fasilitas nuklir iran juni reaksi pasar minyak naik bitcoin sempat turun lalu rebound kripto dapat jadi pengaman atau tertekan tergantung berita selanjutnya kamu siap strategi dua arah,Tue Jul 01 16:05:49 +0000 2025,X
1466,MðŸ”ºinkoin ðŸŸ¦,staking solana jangan ribet manual pilih validator reward kecil kadang salah pilih sistem pilih validator top auto optimasi untung jalan kamu tinggal nyantai caranya,Tue Jul 01 16:04:05 +0000 2025,X
1467,Seraphine Althea ðŸ¦¢,bybit academy sekolah kripto online gratis dari basic sampai strategi profesional belajar dulu untung kemudian,Tue Jul 01 14:17:50 +0000 2025,X
1468,Dark_art,bitcoin arep penipuan kabur saja ingah ingih ndang di harga turun sampai dasar jurang,Sat Aug 30 12:22:17 +0000 2025,X
1470,Satria | Mobile DevðŸ’»,bitcoin turun lumayan saudara saatnya masuk beli,Sat Aug 30 02:25:53 +0000 2025,X
1471,AIFeed.Crypto,aifeed binance hentikan perdagangan futures bitcoin turun di bawah,Fri Aug 29 17:21:37 +0000 2025,X
1472,"ziyaul | ð”½rAI ðŸŠ,ðŸ’Š Ï€Â² (âœ§á´—âœ§)",bitcoin turun ke k pagi ini support k jika ibreak dapat turun ke k tapi kalau rebound di k momentum ke atas dapat terbuka menurut kalian strateginya bagaimana,Fri Aug 29 16:58:42 +0000 2025,X
1473,Sab,bitcoin turun drastis efek demo kah,Fri Aug 29 14:16:42 +0000 2025,X
1474,WannaRich,aw aw pusing saya pusing ihsg turun bitcoin turun yang naik cuma berat badan saya,Fri Aug 29 13:53:33 +0000 2025,X
1475,ApeiroA18,zro tether watch cicil buy di hari ini test harga naik tapi turun lagi karena bitcoin turun kesempatan cicil dan cari untung scalping saja,Fri Aug 29 13:06:43 +0000 2025,X
1476,Ancy,bitcoin turun dikit saja altcoin langsung rontok setakut itu,Fri Aug 29 11:35:08 +0000 2025,X
1477,#YosefMubarok,bitcoin dapat naik turun tapi satu hal yang selalu dibutuhkan dunia air kami menawarkan peluang investasi paling berharga kepemilikan sumber mata air alami ini bukan tren ini kebutuhan abadi,Fri Aug 29 11:26:30 +0000 2025,X
1478,Indah ðŸŸ¡,bangsat bubar juga tidak malah bikin rupiah menguat ihsg merah dalam kripto turun coba ubah pola pikirnya demo di gedung ada juga tidak denger apalagi wfh mending main padel,Fri Aug 29 09:50:36 +0000 2025,X
1479,Crypto Daily - Indonesia ðŸ‡®ðŸ‡©,lagi dan lagi bitcoin turun dibawah k,Fri Aug 29 08:56:58 +0000 2025,X
1480,Ryan Ananda,aneh sekali tiap ada news institusi beli bitcoin harganya bukanya naik tapi malah makin turun,Fri Aug 29 07:00:04 +0000 2025,X
1481,Gilang Fahreza,agustus uranus square pluto menjadi bagian penting untuk hari ini dimana uranus yang sifatnya tren naik dapat menjadi tren turun karena pluto bitcoin,Fri Aug 29 04:34:19 +0000 2025,X
1482,culas culis â›º,selalu rally di hari jum at harga turun saat weekend bitcoin,Fri Aug 29 03:56:44 +0000 2025,X
1483,CiCiCiwww,sangat tidak etis bahas saham luar negeri sementara kau influencer kripto dan subs mu yang udah bayar kau bawa terjebak rugi portonya minus an kalau bukan kabur loncat kapal apalagi namanya,Fri Aug 29 03:48:37 +0000 2025,X
1484,ken,tiati jgn posisi beli bitcoin ethereum dulu bau bau anomali ingin harga turun,Thu Aug 28 15:03:48 +0000 2025,X
1485,Rozriver21,pola di kripto itu gampang kebaca aset harga naik random untuk terus menjebak kerumunan makanya retail yang cuma modal takut ketinggalan dan mimpi ingin cepat kaya akan selalu kalah di pasar,Thu Aug 28 08:03:57 +0000 2025,X
1486,xnðŸ‰ðŸ‡µðŸ‡¸,ethereum langsung tidak turun oh boleh ka itu aa dia jadi mcm bitcoin sampai ratus k nanti hahaah,Wed Aug 27 10:24:48 +0000 2025,X
1487,Rahman ðŸ‰ðŸ«‚,tanggal agustus kemarin kondisi kesehatan bpkku naik turun kyk roller coaster akhirnya bolak balik ke rumah sakit ngantar kontrol bulanan tidak beres hadehh,Tue Aug 26 21:52:43 +0000 2025,X
1488,Crypto Dumb,tidur dulu deh last few days sih pas bangun selalu ada kejutan buat besok jam pagi bitcoin either sitting at or visiting and harga turun hard from that point semoga saya salah,Tue Aug 26 16:38:28 +0000 2025,X
1489,crypto,kebanyakan penyakit retail adalah takut ketinggalan pas harga naik dan yahh jadi exit liquidity para smart money welcome to market kripto yang paham market paham yang tidak udah stress cut rugi,Tue Aug 26 16:32:32 +0000 2025,X
1490,Dark_art,harga turun teross sampai bitcoin,Tue Aug 26 15:41:19 +0000 2025,X
1491,gajahdudukvincent,bagus kripto turun drastis karma timoty ngatain org gym goblok,Tue Aug 26 15:03:36 +0000 2025,X
1492,ANOA Token,m kripto liquidations bitcoin buang semua gain pasca jackson hole turun ke level terendah minggu kapitalisasi pasar kripto amblas hampir b,Tue Aug 26 12:57:35 +0000 2025,X
1493,Nja Gonk,bitcoin turun ke bawah k ether turun info lebih lanjut di coindesk dan tetap waspada,Tue Aug 26 03:17:33 +0000 2025,X
1494,Aja Kalah,ethereum capai rekor baru melampaui puncak nov namun harga kripto turun akibat penjualan besar whale bitcoin baca selengkapnya,Tue Aug 26 02:37:10 +0000 2025,X
1495,Crypto Daily - Indonesia ðŸ‡®ðŸ‡©,pagi pagi cek market kripto bitcoin turun dibawah k tidak usah nanya altcoin bagaimana,Tue Aug 26 01:19:38 +0000 2025,X
1496,Berkan,guys suuqa kama jiro wax wayn keliya waxaa jirey whale oo large bitcoin harga turun gareeyey k bitcoin oo ku bedeshay ethereum waa human physiology takut ketinggalan nasiib daro way dhacdaa wax lagama qaban karo,Mon Aug 25 13:16:38 +0000 2025,X
1497,Zarith,nak tahu bila harga bitcoin tengah turun pukul pm dapat ws ini rsb gentle jual bitcoin kenapa ke saya oi,Mon Aug 25 05:18:08 +0000 2025,X
1498,Mira,ripple ini kapan turun bjir,Mon Aug 25 04:38:10 +0000 2025,X
1499,Sukarja,bitcoin dominance turun perlahan altcoin volume naik pelan pelan kombinasi ini biasanya altcoin season kamu percaya tidak,Sun Aug 24 15:46:53 +0000 2025,X
1500,Sukarja,banyak token baru yang tiba tiba viral di grup grup kripto ini sinyal kuat pasar mulai lirik altcoin jangan sampai sadar pas udah takut ketinggalan,Sun Aug 24 15:45:50 +0000 2025,X
1501,Sukarja,trader senior bilang altcoin season bukan diumumkan tapi dirasakan tandanya altcoin kecil mulai untung pelan pelan kamu ngerasain juga tidak,Sun Aug 24 15:45:19 +0000 2025,X
1502,Sukarja,dominasi bitcoin turun altcoin mulai naik satu per satu inilah fase yang sering jadi pemicu untung besar kamu udah siap masuk atau masih ragu,Sun Aug 24 15:42:05 +0000 2025,X
1503,Icha | Metaphor Re Fantazio ðŸŽ®,bitcoin turun terus yach saya tunggu di rb memungkinkan ngga yach,Sun Aug 24 13:07:53 +0000 2025,X
1504,Tomket Lovers | Trading & Airdrop,kripto dibilang tidur dapat untung tapi kenyataannya malah bikin orang susah tidur kan,Sun Aug 24 12:57:11 +0000 2025,X
1505,Tomket Lovers | Trading & Airdrop,banyak yang bilang bitcoin itu emas digital tapi kalau harganya dapat turun seminggu masih dapat dibilang emas,Sun Aug 24 12:54:32 +0000 2025,X
1506,chivaaree,hala dli mani altcoin acc or kalat acc nko rant harga turun acc mani,Sun Aug 24 10:00:52 +0000 2025,X
1507,"BrunoSauruz (Ã˜,G)",lagi nunggu bitcoin breakout tapi sambil nunggu saya tetep untung dari staking di multitasking untung,Sat Aug 23 15:53:53 +0000 2025,X
1508,fkho92,ntar malem ethereum mulai dinaikin tipis nyampe asia udah balik lagi spt price kemarin agak siangan dikit di harga turun buat balakrok akumulasi bitcoin diharga bawah tulul,Sat Aug 23 13:51:41 +0000 2025,X
1509,Pacos,fyi kebanyakan rugi karena tidak mm dan takut ketinggalan call orang lain yang belum tentu benar,Sat Aug 23 09:22:13 +0000 2025,X
1510,Ishi,jadi market kripto bakal altseason solana monthly juga cakep otw bos dari swing sebelumnya nih otw full untung,Sat Aug 23 08:40:39 +0000 2025,X
1511,Ã¦rgia,mulai sekarang gameplan nya udah beda takut ketinggalan nya retail mulai dimainkan bitcoin rotation ke ethereum udah ku announce dari august waktu market harga turun,Fri Aug 22 23:45:46 +0000 2025,X
1512,Tomket Lovers | Trading & Airdrop,ada tidak sih warga kripto yang beneran untung konsisten,Fri Aug 22 13:46:56 +0000 2025,X
1513,Tomket Lovers | Trading & Airdrop,warga kripto tiap hari harga naik lfg harga turun accumulate guys strong hands,Fri Aug 22 13:42:48 +0000 2025,X
1514,Blubuk.,ingin beli harga bawah bitcoin lagi tapi inget anxietyan anaknya,Fri Aug 22 13:33:06 +0000 2025,X
1515,Dimas,jika bitcoin turun smpai k mungkin ethereum akan lebih hancur,Fri Aug 22 13:06:40 +0000 2025,X
1516,Tomket Lovers | Trading & Airdrop,bitcoin udah di level segini kalian tambah dca atau nunggu harga turun dulu,Fri Aug 22 12:48:00 +0000 2025,X
1517,Tomket Lovers | Trading & Airdrop,gm kripto hari ini kita harga naik apa malah harga turun makin dalam,Fri Aug 22 12:44:42 +0000 2025,X
1518,ApeiroA18,final flush penurunan market kripto hari ini benar benar manipulasi sesuai indicator fadzi six sense signal harusnya bentar lagi akan naik kencang tunggu saja lah untung bot grid future solana masih untung,Fri Aug 22 12:28:19 +0000 2025,X
1519,Bayrich é¾,turun dikit kiamat naik dikit altseason,Fri Aug 22 12:26:43 +0000 2025,X
1520,Nja Gonk,bitcoin turun ke k setelah rekor tertinggi pasar kripto fluktuatif sentimen tren naik di ripple amp ethereum apa pendapat kalian,Fri Aug 22 03:13:16 +0000 2025,X
1521,Suhud,pilih altcoin coin narasi nya yang rame semoga untung bareng hehe,Fri Aug 22 03:13:15 +0000 2025,X
1522,BIO,middle end agustus bitcoin overall leans sideways to tren turun berdasarkan posisi bulan di ardra serta ketidakstabilan akibat rahu simpul bulan utara astrologi,Thu Aug 21 11:05:36 +0000 2025,X
1523,AIFeed.Crypto,aifeed peretas radiant capital beli ethereum saat harga turun,Wed Aug 20 16:56:58 +0000 2025,X
1524,ApeiroA18,times to harga naik bitcoin something big is coming coin pantauan layak untuk dibeli ethereum solana sui link wld ton rules bitcoin dan kripto naik berbarengan dan turun berbarengan harus inget rules ini,Wed Aug 20 12:55:04 +0000 2025,X
1525,Nja Gonk,bitcoin amp ethereum turun bitcoin ke ether waktunya berinvestasi,Wed Aug 20 03:12:36 +0000 2025,X
1526,DigitalCartelSEA,maunya apa altcoin season apa enngak kelamaan nunu keburu alien turun,Wed Aug 20 01:05:51 +0000 2025,X
1527,Agares | BaelCalls,fomc bakal ngumumin arah market agustus jam pagi wib prediksi kalian tren naik tren turun drop jawaban kalian di reply,Tue Aug 19 14:34:49 +0000 2025,X
1528,Tomket Lovers | Trading & Airdrop,protes bingkoin atau bitcoin harga turun pas naik gamau dijual makanya isinya ngeluh terjebak rugi terus cuma tomket sang penyelamat trader disini,Tue Aug 19 08:04:27 +0000 2025,X
1529,Steven,naiknya merangkak turun nya sekali lompat mana yang kau janjikan,Tue Aug 19 04:28:00 +0000 2025,X
1530,Jss.1 å‹,bitcoin saat ini kunci di k kalau gagal tembus sideways kalau tembus peluang new ath terbuka dua skenario flash harga turun setelah k atau lanjut naik jika support bawah kuat,Mon Aug 18 19:02:12 +0000 2025,X
1531,0xCupang.eth,yap bobr tweet memes ke panjat leaderboard amp rebutan k bobr connect x amp mulai untung tutorial cek link di bio hari lagi berakhir,Mon Aug 18 11:24:52 +0000 2025,X
1532,Blackx Cuan,apakah ini gocekan awal pekan,Mon Aug 18 11:05:18 +0000 2025,X
1533,hattaxoxo,harga bitcoin lagi turun mingguan gercep juga para whales dan cukong jualan bitcoin nya dan sebenernya aneh pas naik malah turun pas turun malah naik indahnya cryptocurrency,Mon Aug 18 08:28:52 +0000 2025,X
1534,Rizky Bayu Anggara,kripto turun usd turun party overkah,Mon Aug 18 05:09:01 +0000 2025,X
1535,Aja Kalah,bitcoin turun setelah rekornya sekarang diperdagangkan di usd info lebih lanjut di coindesk,Mon Aug 18 02:37:09 +0000 2025,X
1536,pepsicola,ohiya semoga besok bangun pagi bitcoin sudah down lagi jadi saya dapat beli harga bawah after tapi di harga almost b,Sun Aug 17 17:05:02 +0000 2025,X
1537,Nja Gonk,update kripto bitcoin turun hampir setelah inflasi lebih tinggi dari ekspektasi saat yang tepat untuk berinvestasi,Sun Aug 17 03:14:00 +0000 2025,X
1538,Ethan Athea ðŸ“°,abang katanya bitcoin otw k minggu ini kenapa malah turun mana udah all in posisi beli pakai lev di mexc lagi,Sat Aug 16 13:47:24 +0000 2025,X
1539,DAR,biaya transaksi sih yang ingin menyerok bitcoin mumpung lagi turun,Sat Aug 16 11:42:43 +0000 2025,X
1540,Alex/AJ,kapan lagi dapat bicara market lagi dip dan ethereum di duit pindah dari yang sabar ke yang kurang sabar tolong di berita negatif palsu lagi supaya terbang,Sat Aug 16 09:41:26 +0000 2025,X
1541,CiCiCiwww,sadis manusia satu itu dia mulai main kan saham untuk pengalihan dan loncat kapal kasihan orang yang dia terjebak rugi brutalkan di kripto,Sat Aug 16 03:22:31 +0000 2025,X
1542,Otp Maning Bae,berita kripto bitcoin terlikuidasi us juta berdampak negatif harga eos turun baca selengkapnya,Sat Aug 16 01:54:51 +0000 2025,X
1543,deny mulyadi rohimat,abang hijau lg nih kira ethereum mentok keberapa dulu sblm turun lg,Fri Aug 15 17:46:25 +0000 2025,X
1544,Tom,ritual longsor tiap world cup siap beli harga bawah bitcoin itu thn depan,Fri Aug 15 15:02:34 +0000 2025,X
1545,Neira.,ethereum harga turun dulu ke biar asik,Fri Aug 15 14:05:57 +0000 2025,X
1546,Nanovest Official,bessent ubah nada pasar bitcoin naik turun menteri keuangan as scott bessent tegaskan rencana beli bitcoin masih on track targetnya perluas strategic bitcoin reserve amp jadikan as superpower bitcoin,Fri Aug 15 04:03:53 +0000 2025,X
1547,Nja Gonk,bitcoin turun akibat inflasi tinggi memicu kekhawatiran pemotongan suku bunga update terbaru di dunia kripto,Fri Aug 15 03:15:34 +0000 2025,X
1548,Joehanx,heran kontol bitcoin turun mulu deh,Thu Aug 14 20:02:11 +0000 2025,X
1549,ÍÍ ÍÍ ÍÍ ÍÍ ÍÍ,bitcoin baru juga naik kemaren malem udah turun lagi saja duit saya apa kabar ya,Thu Aug 14 16:12:03 +0000 2025,X
1550,hanskieðŸª–,selamet dari market harga turun gara diingetin atmin cupang tadi siang tapi solana di ethereum terima kasih king,Thu Aug 14 14:14:12 +0000 2025,X
1552,CiCiCiwww,disaat altcoin harga turun disitulah saya posting lawakan dan berita tidak penting untuk mengalihkan tertawa,Thu Aug 14 12:46:10 +0000 2025,X
1553,papi qibal,yailah ini ethereum naik turun mulu sudah,Thu Aug 14 10:44:28 +0000 2025,X
1554,arief_ahmad Ï€Â² ðŸŒ¶ï¸,bitcoin naik dominan turun altcoin kenapa mendem begini,Thu Aug 14 05:49:20 +0000 2025,X
1555,Defa,bitcoin turun xau naik bismillah,Thu Aug 14 03:51:31 +0000 2025,X
1556,é˜¿å°”æ³•æ–°é…± | 0xShinChan ðŸ‡­ðŸ‡°,cashback in kripto is farm and harga turun in disguise,Thu Aug 14 03:42:21 +0000 2025,X
1557,Big_R,kalau turun nanti jangan ngajak yang lain ya bitcoin sayang,Thu Aug 14 01:12:12 +0000 2025,X
1558,Zack,pundek punya bitcoin luahan sorang takut ketinggalan,Thu Aug 14 00:41:11 +0000 2025,X
1559,Risna Wibisono,ngatain main golf tahu main golf ngatain main padel tahu main padel ngatain kripto tahu main kripto kenaaaa takut ketinggalan juga kan akhirnyaaaa,Wed Aug 13 21:06:22 +0000 2025,X
1560,Mochamma Luthfi,punya ethereum per hari ini untung juta anjeng,Wed Aug 13 12:28:51 +0000 2025,X
1561,ApeiroA18,siklus market kripto yang tidak semua orang tahu harga naik barengan harga turun juga barengan pahami di siklus mana kita sekarang jadi porto dapat melesat,Wed Aug 13 10:11:45 +0000 2025,X
1562,syas vs supermegabintang,arya tahu tidak ya kalau bitcoin lg turun,Wed Aug 13 06:03:11 +0000 2025,X
1563,Jemarimu.id,koin kalau ditunggu turun malah naik begitu dibeli langsung turun kenapa dapat demikian,Wed Aug 13 05:28:10 +0000 2025,X
1564,Jss.1 å‹,beberapa altcoin akan kuat nahan flash harga turun nanti karena dom udah di bawah persiapkan posisi mu,Wed Aug 13 03:37:28 +0000 2025,X
1565,Crypto Hole,guys oil inventory naik padahal expected turun oil price dapat drop nih inflation pr fed dovish vibes makin kuat bitcoin siap rally kamuu yang tahan aset kripto bagaimana ready harga naik,Tue Aug 12 20:48:42 +0000 2025,X
1566,Cryptoiz Research ðŸ‡®ðŸ‡©ðŸ‡®ðŸ‡©,vol pasar meme baru sepi curiga bitcoin ingin harga turun,Tue Aug 12 17:41:18 +0000 2025,X
1567,HARCEN GAMING,dapatkan bitcoin dengan diskon di bybit promo campaign buy bitcoin at discount ref n jl d,Tue Aug 12 13:21:31 +0000 2025,X
1568,Nick,duh ethereum naiknya wow banget kemarin main aman jadi nunggu koreksi gede padahal harusnya tadi siang saya beli harga bawah dulu altcoin lain,Tue Aug 12 12:51:49 +0000 2025,X
1569,ðŸ‘¾ HOKI,bitcoin udah naik ke k altcoin diem saja giliran bitcoin turun ikut turun altcoin memang penipuan apalagi penipuan semua koin penipuan,Tue Aug 12 06:48:36 +0000 2025,X
1570,RESET,bitcoin turun semua jadi najis,Tue Aug 12 05:19:35 +0000 2025,X
1571,ðŸ‘¾ HOKI,abang bulan depan masih dapat beli harga bawah tidak altseason smpe kapan sih biar tidak terjebak rugi om,Tue Aug 12 02:25:14 +0000 2025,X
1572,Octa Indonesia,ripple bertahan di atas support dan berpotensi menuju jika tren tren naik berlanjut namun penurunan di bawah dapat memicu tren tren turun ke mana arah harga ripple minggu ini,Tue Aug 12 01:14:23 +0000 2025,X
1573,Pavel Ryan ðŸ…±ï¸,bitcoin turun ke ether jatuh sentimen pasar bergeser ke zona fear setelah proyeksi suku bunga the fed mengecewakan bullpost,Tue Aug 12 00:47:27 +0000 2025,X
1574,Digi,edutainment source berita harian discord akademi kripto edutainment cara antisipasi perubahan flow market tren turun menjadi tren naik,Tue Aug 12 00:33:16 +0000 2025,X
1575,Crypto Hole,kualitas data cpi dipertanyakan dampak tarif diperhatikan cpi naik inflasi naik kripto tren turun source cnn business,Mon Aug 11 21:11:00 +0000 2025,X
1576,Crypto Hole,indeks turun karena inflasi bitcoin naik karena permintaan institusi fed rate cut odds rise bitcoin demand increases bitcoin tren naik source barchart,Mon Aug 11 21:03:35 +0000 2025,X
1577,Crypto Hole,do kwon hadapi tuduhan penipuan guncang kepercayaan market do kwon fraud charges market confidence shaken kripto tren turun source reuters,Mon Aug 11 20:28:58 +0000 2025,X
1578,Crypto Hole,dxy naik akibat ketakutan geopolitik amp posisi jual covering dxy naik usd kuat kripto tren turun source barchart,Mon Aug 11 20:23:34 +0000 2025,X
1579,Crypto Hole,intc naik hsy turun alb melonjak ai turun drastis lithium fears risk on sentiment kripto tren naik source investopedia,Mon Aug 11 16:43:51 +0000 2025,X
1580,Crypto Hole,bisnis kecil as terpukul tarif b ancaman ketidakpastian tariffs impact economy risk off sentiment kripto tren turun source new york times,Mon Aug 11 16:11:47 +0000 2025,X
1581,Crypto Hole,tarif b ancam kelangsungan usaha kecil as tarif tinggi ketidakpastian ekonomi kripto tren turun source yahoofinance,Mon Aug 11 16:06:56 +0000 2025,X
1582,Crypto Hole,kepala bls diganti market tips t bergejolak data integrity concern risk off sentiment kripto tren turun source reuters,Mon Aug 11 16:01:33 +0000 2025,X
1583,Crypto Hole,harga minyak wti turun kenaikan output opec menanti usd strength kripto pressure kripto tren turun source barchart,Mon Aug 11 15:58:21 +0000 2025,X
1584,Crypto Hole,saham nvidia amp amd turun as pertimbangkan potong penjualan ke china us china tension risk off sentiment kripto tren turun source barron s,Mon Aug 11 15:53:57 +0000 2025,X
1585,Crypto Hole,pemberi pinjaman swasta kuasai pembayaran utang negara miskin rising debt costs economic strain kripto tren turun source reuters,Mon Aug 11 15:48:34 +0000 2025,X
1586,Crypto Hole,volume kereta juli naik belanja konsumen melambat inflasi naik tekanan pada kripto kripto tren turun source freightwaves,Mon Aug 11 15:42:39 +0000 2025,X
1587,Crypto Hole,bofa pangkas proyeksi yield treasury market prediksi pemotongan yield turun risk on sentiment kripto tren naik source bloomberg,Mon Aug 11 15:33:06 +0000 2025,X
1588,Crypto Hole,eqt naik setahun kalahkan s amp p saham turun eqt revenue naik risk on sentiment kripto tren naik source barchart,Mon Aug 11 15:23:28 +0000 2025,X
1589,Crypto Hole,penundaan kredit ev as penjualan tesla dan rivian terancam ev sales dip less risk appetite kripto tren turun source bloomberg,Mon Aug 11 15:01:10 +0000 2025,X
1590,Crypto Hole,dxy naik fed isyaratkan pemotongan suku bunga dxy naik fed dovish usd kuat kripto tren turun source barchart,Mon Aug 11 14:56:23 +0000 2025,X
1591,Crypto Hole,indeks as naik bitcoin melonjak saham ai turun bitcoin naik risk on sentiment kripto tren naik source barchart,Mon Aug 11 14:50:30 +0000 2025,X
1592,za,bitcoin bentar lagi masuk ke tren turun soalnya mendekati pildun,Mon Aug 11 04:52:23 +0000 2025,X
1593,Pavel Ryan ðŸ…±ï¸,bitcoin kembali tembus k pasar mulai menunjukkan tanda tanda tren naik setelah data inflasi as turun apakah ini awal dari siklus baru bullpost,Mon Aug 11 03:54:58 +0000 2025,X
1594,Yopi arsopian,pipa air di jakarta lumpuh total nilai mata uang ripple turun tajam,Sun Aug 10 13:30:37 +0000 2025,X
1595,Akademi Kripto Jayapura,ingin belajar investasi kripto dari yang basic trending biar dapat untung x podcast ini jawabannya narsum spesial tokocrypto founder akj komen sekarang pertanyaan apa yang kamu ingin kita bahas,Sun Aug 10 11:36:28 +0000 2025,X
1596,Alex/AJ,gm holder ethereum ngaku siapa yang gapunya barang jangan khawatir mari kita berita negatif palsu terus dan kawal sampe ke k you have been warned you have been scammed,Sun Aug 10 11:02:42 +0000 2025,X
1597,IbnKh,invoice belum pada turun eh ada gain dari ethereum lumayan beli vitamin anak ahhaha alhamdulillah,Sun Aug 10 10:42:12 +0000 2025,X
1598,ZeroGasID,menurut kamu airdrop mana yang paling bikin untung di tagar tag pilihan polling proyek layer gamefi game nft token defi meme coin,Sun Aug 10 08:10:56 +0000 2025,X
1599,andreasrtobing.hl,duh ingin banget rasanya bullpost ethereum tapi takut malah turun wkwkwkw,Sat Aug 09 15:14:45 +0000 2025,X
1600,Bruce,no its not altseason its ethereum season everyone sidelined chasing x x dan menolak beli ethereum padahal untung termudah ada disitu hilangkan nafsu menjijikan untuk kaya dalam semalam appreciate the gain son,Sat Aug 09 07:11:53 +0000 2025,X
1601,Sataima,tertawa mulai banyak akun kripto yang bikin takut ketinggalan wakakakak,Sat Aug 09 06:00:45 +0000 2025,X
1602,ð•¾ð–Šð–—ð–Žð–Œð–†ð–‘ð–† ð•¿ð–šð–†,jujur baru pertama banget invest koin ripple bukan karena takut ketinggalan tapi karena masa depannya keliatan bagus mudah an ijo terus,Sat Aug 09 05:51:52 +0000 2025,X
1603,Luckey ðŸ›¸,kalau ketemu hari turun tapi volume meningkat disitu lah waktu yang tepat untuk dca bitcoin,Sat Aug 09 03:31:48 +0000 2025,X
1604,Gilang.R,wow lah baru dapat bep ethereum bertahun tahun terjebak rugi kriptot skem,Fri Aug 08 14:58:33 +0000 2025,X
1605,ga jadi jadi sixpack,ngerubah frame work dan pemahaman tentang investasi khususnya di bitcoin alhamdulillah setahun terkahir beneran untung walopun tidak signifikan tapi atleast diatas target terimakasih siklus ini,Fri Aug 08 14:14:49 +0000 2025,X
1606,Hamsah,ingin untung dari pergerakan harga naik ataupun turun di kripto kenalan sama mexc futures fitur andalan buat kamu yang ingin trading dengan leverage yuk bahas dari dasar sampai tips cuannya,Fri Aug 08 13:55:34 +0000 2025,X
1607,rex,unfollow influencer ripple paling berisik harga naik berisik harga turun berisik,Fri Aug 08 07:19:20 +0000 2025,X
1608,Ajaib Investasi,aset kripto apa yang paling bikin kamu untung di minggu ini ges,Fri Aug 08 04:59:00 +0000 2025,X
1609,ExitLiquidityGG,ethereum semakin di berita negatif palsu semakin terbang aneh,Fri Aug 08 03:40:06 +0000 2025,X
1610,konde.eth,kripto memang wow tapi hari ini saya dapat pelajaran penting jangan asal takut ketinggalan saudara,Fri Aug 08 03:29:10 +0000 2025,X
1611,andreasrtobing.hl,jir ethereum di berita negatif palsu malah naik mari kita kumandangkan terus ethereum sekeeeemmmmmm,Fri Aug 08 03:21:18 +0000 2025,X
1612,I.A,kripto naik saham turun gantian dulu,Fri Aug 08 03:06:29 +0000 2025,X
1613,Degleng_212,tidak ngerti blockchain tapi ingin untung ebook ini jawabannya blockchain transaction data analytics bonus ebook keuangan cinta politik parenting bisnis dll link di bio,Thu Aug 07 19:13:58 +0000 2025,X
1614,Bittime,bank tutup rekening pelaku industri kripto trump turun tangan,Thu Aug 07 14:20:14 +0000 2025,X
1615,alexanderagung,abis trade altcoin untung cuma cepek saya beliin bitcoin soalnya bingung ingin beli apa,Thu Aug 07 13:05:27 +0000 2025,X
1616,Rupiah Pep Finance,parataxis holdings resmi akan beli bitcoin senilai juta untuk cadangan keuangan mereka ini bukan sekadar investasi ini adalah perang terhadap fiat institusi besar mulai beli harga bawah bitcoin bukan lagi cuma investor ritel,Thu Aug 07 10:13:00 +0000 2025,X
1617,Rahkai ðŸ’€,tolol saja sih yang investasi kripto ke timothy ronald ingin untung banyak tapi males gerak,Wed Aug 06 15:10:05 +0000 2025,X
1618,Crypto Elliott Wave,setiap gelombang punya karakternya wave itu penuh keraguan wave penuh takut ketinggalan wave penuh euforia kenali masing masing counting was so much fun,Wed Aug 06 12:00:03 +0000 2025,X
1619,jujuu,seru itu pagi malem kerja real life malem pagi di kripto yang belm tentu untung juga,Wed Aug 06 05:49:27 +0000 2025,X
1620,Rahmat ðŸ‡²ðŸ‡¨,takut ketinggalan thursdays minggu dimulai agustus wib spesial tahun ethereum ethereum untuk pemenang utama ethereum untuk pemenang giveaway di x ethereum untuk pemenang,Wed Aug 06 03:46:46 +0000 2025,X
